experiment,subset,id_dataset,ood_dataset,scope,method,auc,ci_low,ci_high,aupr,aupr_ci_low,aupr_ci_high,fpr95,fpr95_ci_low,fpr95_ci_high,tpr_at_fpr05,tpr_at_fpr05_ci_low,tpr_at_fpr05_ci_high,ece,brier,exp_dir
jsrt_to_montgomery,full,jsrt,montgomery,jsrt vs montgomery,mahalanobis_resnet50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.2449560506190336,0.1762787642212001,jsrt_to_montgomery_full
jsrt_to_montgomery,full,jsrt,montgomery,jsrt vs montgomery,unet_entropy,0.3824150677697588,0.3295443877251657,0.4360529249545267,0.285552269087697,0.2664328204223918,0.3089968458759781,0.951417004048583,0.9190283400809716,0.979757085020243,0.0,0.0,0.0038043478260867,0.1982127436710274,0.29319958257363,jsrt_to_montgomery_full
jsrt_to_montgomery,full,jsrt,montgomery,jsrt vs montgomery,unet_msp,0.3849967728686264,0.3312980402511295,0.4365171918089538,0.2848580623724638,0.2642804849954724,0.3106114279215436,0.9433198380566802,0.8947368421052632,0.97165991902834,0.0,0.0,0.0,0.1806325822086582,0.2907267051335243,jsrt_to_montgomery_full
jsrt_to_montgomery,full,jsrt,montgomery,jsrt vs montgomery,unet_maxlogit,0.2260752214985624,0.1801450742240216,0.2782337323241213,0.2386659809775353,0.2283451133045032,0.2515209220225201,1.0,1.0,1.0,0.0,0.0,0.0144927536231884,0.3495056071565089,0.3573570584463055,jsrt_to_montgomery_full
jsrt_to_shenzhen,full,jsrt,shenzhen,jsrt vs shenzhen,mahalanobis_resnet50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5614530906759284,0.4591319571232712,jsrt_to_shenzhen_full
jsrt_to_shenzhen,full,jsrt,shenzhen,jsrt vs shenzhen,unet_entropy,0.5783250597273286,0.5374778257821776,0.6229903720976809,0.7595242769011462,0.7314672377212348,0.7900384147276617,0.8785425101214575,0.8299595141700404,0.9190283400809716,0.1130742049469964,0.0432420494699646,0.1917402826855123,0.2787135967749302,0.2909308873211846,jsrt_to_shenzhen_full
jsrt_to_shenzhen,full,jsrt,shenzhen,jsrt vs shenzhen,unet_msp,0.5579963090656787,0.5210358220912433,0.6054729188423628,0.7440885698563554,0.7124286701146819,0.7737435782574603,0.8866396761133604,0.8380566801619433,0.9332995951417004,0.0830388692579505,0.0255742049469964,0.1554770318021201,0.2868196986491876,0.2995870083224366,jsrt_to_shenzhen_full
jsrt_to_shenzhen,full,jsrt,shenzhen,jsrt vs shenzhen,unet_maxlogit,0.5807141528733495,0.5404970958927626,0.616816283028855,0.762318963324014,0.7318734750296739,0.7931733932773325,0.9109311740890688,0.854251012145749,0.951417004048583,0.1007067137809187,0.0512367491166077,0.2049469964664311,0.2746529592722717,0.2891895318529445,jsrt_to_shenzhen_full
montgomery_to_jsrt,full,montgomery,jsrt,montgomery vs jsrt,mahalanobis_resnet50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.426248885204464,0.2946826768292925,montgomery_to_jsrt_full
montgomery_to_jsrt,full,montgomery,jsrt,montgomery vs jsrt,unet_entropy,0.6175849322302411,0.5565092706683096,0.6769978876958282,0.7593722887511156,0.7171814840948986,0.7994901519897422,0.9492753623188406,0.8695652173913043,1.0,0.1740890688259109,0.0888663967611336,0.2267206477732793,0.2049827561888175,0.2667465008045637,montgomery_to_jsrt_full
montgomery_to_jsrt,full,montgomery,jsrt,montgomery vs jsrt,unet_msp,0.6149445520154903,0.5600297776213108,0.6691273543390248,0.763480419906177,0.7201391337306746,0.801067272111204,0.9782608695652174,0.8947463768115942,1.0,0.1781376518218623,0.1255060728744939,0.2550607287449393,0.2073364045963884,0.2687014418730969,montgomery_to_jsrt_full
montgomery_to_jsrt,full,montgomery,jsrt,montgomery vs jsrt,unet_maxlogit,0.7740421287332042,0.72389837469929,0.8199774100803848,0.8485491505761573,0.8057223324172683,0.8832906279212066,0.6666666666666666,0.5652173913043478,0.7536231884057971,0.2793522267206478,0.1497975708502024,0.388663967611336,0.1226346406300791,0.1949983314538572,montgomery_to_jsrt_full
montgomery_to_shenzhen,full,montgomery,shenzhen,montgomery vs shenzhen,mahalanobis_resnet50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5913079479232835,0.4480761016028223,montgomery_to_shenzhen_full
montgomery_to_shenzhen,full,montgomery,shenzhen,montgomery vs shenzhen,unet_entropy,0.6949608234751882,0.650525874430276,0.7400781610078353,0.9075022660348256,0.8906785556074763,0.923066091515828,0.7753623188405797,0.6884057971014492,0.8695652173913043,0.2985865724381625,0.2137809187279152,0.3498233215547703,0.4578144409190904,0.3583918147915717,montgomery_to_shenzhen_full
montgomery_to_shenzhen,full,montgomery,shenzhen,montgomery vs shenzhen,unet_msp,0.6721078506683055,0.6240615557945409,0.7163661212679878,0.9008327953776484,0.8835146189884371,0.9157333806920986,0.855072463768116,0.7681159420289855,0.9130434782608696,0.2720848056537102,0.2208480565371024,0.3409893992932862,0.4508249552363565,0.355176482450142,montgomery_to_shenzhen_full
montgomery_to_shenzhen,full,montgomery,shenzhen,montgomery vs shenzhen,unet_maxlogit,0.8241409330670354,0.7851750140830644,0.8609959927280176,0.946798357063159,0.932405822107926,0.959631137105486,0.6014492753623188,0.4855072463768116,0.6956521739130435,0.3851590106007067,0.2658568904593639,0.4840989399293286,0.3093175975445354,0.2142375694795636,montgomery_to_shenzhen_full
shenzhen_to_jsrt,full,shenzhen,jsrt,shenzhen vs jsrt,mahalanobis_resnet50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1676736110812407,0.1035809786248111,shenzhen_to_jsrt_full
shenzhen_to_jsrt,full,shenzhen,jsrt,shenzhen vs jsrt,unet_entropy,0.4216963991931446,0.3778622623424557,0.4635253787499463,0.2573493148583644,0.2404764326194821,0.2806780573010135,0.9946996466431096,0.9770318021201412,1.0,0.0323886639676113,0.0121457489878542,0.0526315789473684,0.1748095726014435,0.268557018851851,shenzhen_to_jsrt_full
shenzhen_to_jsrt,full,shenzhen,jsrt,shenzhen vs jsrt,unet_msp,0.4419822320138482,0.4018402812549176,0.480010836754839,0.2681682092112407,0.2498106238762935,0.2960166623007608,0.991166077738516,0.9752650176678446,1.0,0.0404858299595141,0.0161943319838056,0.0607287449392712,0.1610267510691313,0.2619057045672056,shenzhen_to_jsrt_full
shenzhen_to_jsrt,full,shenzhen,jsrt,shenzhen vs jsrt,unet_maxlogit,0.4193001530736327,0.3783050314015536,0.4598927411625012,0.2553775235224998,0.2397694522176866,0.2740028259675344,0.969964664310954,0.9469964664310954,0.9929328621908128,0.0283400809716599,0.0080971659919028,0.0526315789473684,0.1733695249504838,0.2658752528392944,shenzhen_to_jsrt_full
shenzhen_to_montgomery,full,shenzhen,montgomery,shenzhen vs montgomery,mahalanobis_resnet50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1126635218308239,0.0698316342035344,shenzhen_to_montgomery_full
shenzhen_to_montgomery,full,shenzhen,montgomery,shenzhen vs montgomery,unet_entropy,0.3050391765248118,0.2570988247042556,0.350725917959748,0.134387820703202,0.1271612079767607,0.1436150819396764,0.9946996466431096,0.9876325088339224,1.0,0.0,0.0,0.0,0.2313293846386994,0.245618660172302,shenzhen_to_montgomery_full
shenzhen_to_montgomery,full,shenzhen,montgomery,shenzhen vs montgomery,unet_msp,0.3278921493316946,0.2821516361960362,0.3741431735545654,0.1383482622415175,0.1303958308995705,0.1483880730837539,0.9893992932862192,0.9734982332155476,0.9964664310954064,0.0,0.0,0.0,0.2168486982540264,0.239742542485474,shenzhen_to_montgomery_full
shenzhen_to_montgomery,full,shenzhen,montgomery,shenzhen vs montgomery,unet_maxlogit,0.1758590669329646,0.1405707481948072,0.2184795411481538,0.1163589642016737,0.1133952608596003,0.120274946157889,1.0,1.0,1.0,0.0,0.0,0.0,0.40118012046965,0.325960515699035,shenzhen_to_montgomery_full
